leg_case,leg_stat,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
CIV_COM,CRT_BGHT,P_HTHAB,BA	: 	: 	: 	: 	: 	2775.56 	2330.13 	2687.40 	2879.48 	2284.64 
CIV_COM,CRT_BGHT,P_HTHAB,BE	: 	: 	7159.27 	7071.78 	7205.75 	7257.00 	7525.51 	7593.02 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,BG	4933.57 	4241.70 	4277.03 	3953.52 	4346.50 	4819.48 	5129.88 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,CH	: 	: 	: 	: 	: 	3945.26 	: 	2564.56 	: 	1220.62 
CIV_COM,CRT_BGHT,P_HTHAB,CZ	8151.22 	8130.06 	8946.26 	21224.27 	21065.45 	22015.42 	27933.62 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,DE	1833.12 	1951.91 	2152.57 	2149.27 	2221.37 	2248.47 	2328.54 	2329.26 	1973.41 	2232.00 
CIV_COM,CRT_BGHT,P_HTHAB,DK	774.24 	794.92 	808.75 	817.06 	866.83 	907.60 	1056.37 	1221.81 	1238.13 	1176.89 
CIV_COM,CRT_BGHT,P_HTHAB,EE	2293.87 	2314.08 	2335.06 	2115.94 	2112.60 	1982.77 	2224.25 	2454.08 	2210.16 	: 
CIV_COM,CRT_BGHT,P_HTHAB,EL	1861.28 	1359.17 	2123.02 	2209.41 	2675.80 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,ES	3617.86 	3283.88 	3783.87 	3522.62 	3247.44 	3378.55 	3296.29 	3798.61 	3898.10 	3277.16 
CIV_COM,CRT_BGHT,P_HTHAB,FI	8512.55 	7516.42 	7579.13 	7563.36 	8241.75 	8710.51 	7024.85 	6374.62 	6655.22 	5154.36 
CIV_COM,CRT_BGHT,P_HTHAB,FR	: 	: 	3719.18 	3750.88 	3806.04 	3692.46 	3488.86 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,HR	10367.84 	10969.99 	10407.22 	11459.90 	14070.07 	14508.80 	14908.26 	14516.74 	3164.84 	3188.99 
CIV_COM,CRT_BGHT,P_HTHAB,HU	2495.44 	2666.00 	2485.50 	2497.59 	2500.92 	1741.78 	1943.15 	2040.26 	1970.56 	1919.50 
CIV_COM,CRT_BGHT,P_HTHAB,IS	1830.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,IT	5740.81 	6040.65 	5815.48 	6560.64 	6671.47 	6913.77 	7152.31 	7189.90 	8202.40 	7848.08 
CIV_COM,CRT_BGHT,P_HTHAB,LI	1663.58 	1307.75 	1276.56 	1203.91 	1501.17 	1313.23 	1183.99 	1022.46 	1146.42 	: 
CIV_COM,CRT_BGHT,P_HTHAB,LT	6829.48 	7148.83 	7056.09 	6748.46 	6230.01 	6023.39 	6044.64 	6415.87 	7429.86 	5785.90 
CIV_COM,CRT_BGHT,P_HTHAB,LU	779.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,LV	1726.00 	2173.08 	2047.84 	2245.05 	2134.72 	2178.00 	4262.02 	5890.30 	6244.54 	4761.45 
CIV_COM,CRT_BGHT,P_HTHAB,ME	5634.60 	6370.60 	6411.68 	4512.96 	3214.08 	2890.82 	3179.80 	3258.15 	3034.07 	2384.89 
CIV_COM,CRT_BGHT,P_HTHAB,MT	456.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,NL	: 	: 	6531.67 	6505.92 	6360.11 	6476.85 	6749.00 	6987.64 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,PL	30277.75 	28049.69 	27571.54 	25725.40 	27339.26 	25052.08 	24203.44 	22246.22 	19656.24 	18198.08 
CIV_COM,CRT_BGHT,P_HTHAB,PT	2916.08 	2984.22 	3035.89 	6506.74 	3115.83 	3499.97 	3108.24 	2958.04 	3411.19 	2979.79 
CIV_COM,CRT_BGHT,P_HTHAB,RO	5659.41 	5561.54 	5774.21 	6323.30 	3025.00 	3649.33 	3550.63 	3942.49 	4013.21 	3631.75 
CIV_COM,CRT_BGHT,P_HTHAB,RS	13941.36 	11901.47 	11813.18 	9771.38 	10319.52 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,SE	931.03 	913.64 	937.81 	1000.98 	1044.90 	930.25 	878.80 	918.46 	890.87 	788.92 
CIV_COM,CRT_BGHT,P_HTHAB,SI	: 	23398.11 	24513.62 	27121.20 	27522.45 	29441.41 	27234.12 	27578.19 	30335.34 	25043.91 
CIV_COM,CRT_BGHT,P_HTHAB,SK	3046.93 	4408.75 	7124.74 	5016.85 	5294.32 	5563.12 	4621.06 	4709.49 	4693.54 	4649.76 
CIV_COM,CRT_BGHT,P_HTHAB,TR	: 	2797.65 	2774.24 	2774.92 	2562.81 	2265.16 	2524.13 	2587.29 	2509.29 	: 
CIV_COM,CRT_BGHT,P_HTHAB,UKC-L	: 	3161.06 	2777.13 	2856.71 	2623.17 	2675.62 	2920.46 	3052.72 	3414.71 	3779.34 
CIV_COM,CRT_BGHT,P_HTHAB,UKM	1413.85 	: 	1402.82 	1412.98 	1424.20 	1433.14 	1588.01 	1829.69 	2227.67 	2507.53 
CIV_COM,CRT_BGHT,P_HTHAB,UKN	: 	: 	3010.72 	3266.86 	3459.44 	3627.12 	3793.95 	3892.45 	3958.66 	3556.16 
CIV_COM,CRT_BGHT,P_HTHAB,XK	35.94 	35.79 	: 	: 	: 	: 	68.44 	56.79 	48.75 	68.92 
CIV_COM,CRT_PEN,NR,AL	10599 	11659 	11144 	12517 	4349 	: 	: 	: 	: 	: 
CIV_COM,CRT_PEN,NR,AT	118112 	115483 	108141 	118862 	123822 	: 	: 	: 	: 	: 
CIV_COM,CRT_PEN,NR,BA	82547 	97804 	111359 	127281 	148392 	147890 	148302 	168958 	181513 	162426 
CIV_COM,CRT_PEN,NR,BE	: 	: 	532140 	513192 	501041 	488021 	479109 	453783 	: 	: 
CIV_COM,CRT_PEN,NR,BG	78462 	69661 	64741 	61371 	67272 	68107 	65334 	: 	: 	: 
CIV_COM,CRT_PEN,NR,CH	: 	: 	: 	: 	: 	286283 	281021 	66495 	66302 	41944 
CIV_COM,CRT_PEN,NR,CZ	434530 	444158 	495739 	807986 	709696 	678068 	809257 	: 	: 	: 
CIV_COM,CRT_PEN,NR,DE	754337 	781503 	850354 	879622 	899853 	918661 	953178 	983367 	917016 	920595 
CIV_COM,CRT_PEN,NR,DK	21055 	21619 	22026 	22380 	23368 	25466 	29148 	35012 	35702 	35780 
CIV_COM,CRT_PEN,NR,EE	: 	: 	: 	: 	: 	10436 	12632 	15219 	14495 	: 
CIV_COM,CRT_PEN,NR,EL	252654 	242779 	264484 	246839 	278913 	: 	: 	: 	: 	: 
CIV_COM,CRT_PEN,NR,ES	1046124 	897424 	959963 	910190 	934196 	1054224 	1109778 	1274483 	1220615 	984076 
CIV_COM,CRT_PEN,NR,FI	133284 	113109 	112111 	106270 	72834 	91122 	68162 	67325 	72455 	54476 
CIV_COM,CRT_PEN,NR,HR	242232 	258081 	284168 	301464 	337009 	353625 	380936 	353989 	192058 	197875 
CIV_COM,CRT_PEN,NR,HU	90067 	85308 	81614 	78808 	86757 	78381 	83845 	90633 	93866 	89662 
CIV_COM,CRT_PEN,NR,IT	3795289 	3932612 	4032687 	4336994 	4501021 	4762023 	5055770 	5019626 	5346556 	4978423 
CIV_COM,CRT_PEN,NR,LI	325 	273 	313 	282 	281 	277 	215 	207 	173 	: 
CIV_COM,CRT_PEN,NR,LT	27573 	29515 	29038 	31763 	29847 	27759 	28715 	30669 	34507 	27172 
CIV_COM,CRT_PEN,NR,LU	1306 	: 	1137 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_PEN,NR,LV	30572 	30398 	28558 	30330 	30068 	33916 	41658 	41491 	36482 	37200 
CIV_COM,CRT_PEN,NR,ME	21832 	22704 	22416 	18757 	13500 	13400 	13929 	13940 	11436 	11753 
CIV_COM,CRT_PEN,NR,MT	5062 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_PEN,NR,PL	2205497 	
